Timestamp,Container,CPU%
2025-04-24 11:58:23,spare-edu-10.9.0.66,0.00%
2025-04-24 11:58:23,local-dns-10.9.0.53,0.01%
2025-04-24 11:58:23,root-10.9.0.30,0.00%
2025-04-24 11:58:23,example-edu-10.9.0.65,0.01%
2025-04-24 11:58:23,edu-10.9.0.60,0.00%
2025-04-24 11:58:23,user-10.9.0.5,0.00%
2025-04-24 11:58:26,spare-edu-10.9.0.66,0.01%
2025-04-24 11:58:26,local-dns-10.9.0.53,0.03%
2025-04-24 11:58:26,root-10.9.0.30,0.00%
2025-04-24 11:58:26,example-edu-10.9.0.65,0.01%
2025-04-24 11:58:26,edu-10.9.0.60,0.01%
2025-04-24 11:58:26,user-10.9.0.5,0.08%
2025-04-24 11:58:30,spare-edu-10.9.0.66,0.00%
2025-04-24 11:58:30,local-dns-10.9.0.53,0.01%
2025-04-24 11:58:30,root-10.9.0.30,0.00%
2025-04-24 11:58:30,example-edu-10.9.0.65,0.00%
2025-04-24 11:58:30,edu-10.9.0.60,0.00%
2025-04-24 11:58:30,user-10.9.0.5,0.00%
2025-04-24 11:58:33,spare-edu-10.9.0.66,0.01%
2025-04-24 11:58:33,local-dns-10.9.0.53,0.01%
2025-04-24 11:58:33,root-10.9.0.30,0.01%
2025-04-24 11:58:33,example-edu-10.9.0.65,0.01%
2025-04-24 11:58:33,edu-10.9.0.60,0.00%
2025-04-24 11:58:33,user-10.9.0.5,0.00%
