Timestamp,Container,CPU%
2025-04-24 16:26:56,spare-edu-10.9.0.66,0.23%
2025-04-24 16:26:56,root-10.9.0.30,0.01%
2025-04-24 16:26:56,local-dns-10.9.0.53,0.33%
2025-04-24 16:26:56,example-edu-10.9.0.65,0.42%
2025-04-24 16:26:56,edu-10.9.0.60,0.49%
2025-04-24 16:26:56,user-10.9.0.5,0.00%
2025-04-24 16:26:59,spare-edu-10.9.0.66,0.01%
2025-04-24 16:26:59,root-10.9.0.30,0.02%
2025-04-24 16:26:59,local-dns-10.9.0.53,0.02%
2025-04-24 16:26:59,example-edu-10.9.0.65,0.01%
2025-04-24 16:26:59,edu-10.9.0.60,0.01%
2025-04-24 16:26:59,user-10.9.0.5,0.00%
2025-04-24 16:27:02,spare-edu-10.9.0.66,0.00%
2025-04-24 16:27:02,root-10.9.0.30,0.01%
2025-04-24 16:27:02,local-dns-10.9.0.53,0.00%
2025-04-24 16:27:02,example-edu-10.9.0.65,0.00%
2025-04-24 16:27:02,edu-10.9.0.60,0.00%
2025-04-24 16:27:02,user-10.9.0.5,0.00%
2025-04-24 16:27:06,spare-edu-10.9.0.66,0.01%
2025-04-24 16:27:06,root-10.9.0.30,0.01%
2025-04-24 16:27:06,local-dns-10.9.0.53,0.01%
2025-04-24 16:27:06,example-edu-10.9.0.65,0.01%
2025-04-24 16:27:06,edu-10.9.0.60,0.01%
2025-04-24 16:27:06,user-10.9.0.5,0.00%
